session,year,afrc_name,afrc_place,afrc_address,raw_fee_text,best_college_id,best_college_name,score,match_reason,status,alternatives,source_page,branch_amounts
2017-2018,2017,"ACROPOLIS INSTITUTE OF TECHNOLOGY AND RESEARCH,Bhopal",Bhopal,Secunderabad village Ratibad Road,24650,h49,"Trinity Institute of Technology & Research, Bhopal",0.880,matched historical/defunct college,doubtful,"h49:Trinity Institute of Technology & Research, Bhopal:0.880; 003:Acropolis Institute of Technology & Research, Indore:0.863; h17:IES Institute of Technology & Management, Bhopal:0.816",fees.xml:item:11,
2017-2018,2017,"Acropolis Institute of Technology Research, Indore",Indore,301 STARLIT TOWER Y N ROAD INDORE,36800,003,"Acropolis Institute of Technology & Research, Indore",1.000,exact normalized name,accepted,"003:Acropolis Institute of Technology & Research, Indore:1.000; 030:Astral Institute of Technology & Research, Indore:0.945; 264:Malwa Institute of Technology, Indore:0.816",AFRC:T:2017:page:1,
2017-2018,2017,Adina Institute of Science Technology,Sagar,"Opposite J. L Nehru Agriculture Research center Bamhori Seed form, Bhopal Road, SAGAR, M.P.",22500,009,"Adina Institute of Science & Technology, Sagar",1.000,high-confidence fuzzy match,accepted,"009:Adina Institute of Science & Technology, Sagar:1.000; 045:Bansal Institute of Science & Technology, Bhopal:0.854; 258:Malwa Institute of Science & Technology, Indore:0.840",AFRC:T:2017:page:1,
2017-2018,2017,Aditya College of Technology Science,Satna,"95, Mahdeva Road, Sherganj, SatnaM.P.",26000,h3,"Aditya College of Technology & Science, Satna",1.000,matched historical/defunct college,doubtful,"h3:Aditya College of Technology & Science, Satna:1.000; 207:Lakshmi Narain College of Technology & Science, Bhopal:0.759; h10:BM College of Technology, Indore:0.746",AFRC:T:2017:page:1,
2017-2018,2017,All Saints College of Engineering,BHOPAL,"Gram-Pipalner, Gandhi Nagar, Bhopal",22800,h4,"All Saints College of Engineering, Bhopal",1.000,matched historical/defunct college,doubtful,"h4:All Saints College of Engineering, Bhopal:1.000; 123:Gyan Sagar College of Engineering, Sagar:0.750; h66:Scope College of Engineering Bhopal:0.746",fees.xml:item:11,
2017-2018,2017,All Saints College of Technology,Bhopal,"Facing International Airport, NH-12, Narsinghgarh Road, Gandhinagar, Bhopal",27500,h5,"All Saints College of Technology, Bhopal",1.000,matched historical/defunct college,doubtful,"h5:All Saints College of Technology, Bhopal:1.000; 171:Jai Narain College of Technology, Bhopal:0.801; 477:Sha-Shib College of Technology, Bhopal:0.794",fees.xml:item:11,
2017-2018,2017,Alpine Institute of Technology,Ujjain,"Gram Chandesara, Dewas Road, Ujjain",24000,h6,"Alpine Institute of Technology, Ujjain",1.000,matched historical/defunct college,doubtful,"h6:Alpine Institute of Technology, Ujjain:1.000; 387:Rewa Institute of Technology, Rewa:0.794; 264:Malwa Institute of Technology, Indore:0.788",AFRC:T:2017:page:1,
2017-2018,2017,Annie Institute of Technology and Research Centre,Chhindwada,"Khairwara Road, Village Thuniabhand, Near Airstrip, Chhindwara, M.P.",23500,h7,"Annie Institute of Technology and Research Centre, Chhindwara",1.000,matched historical/defunct college,doubtful,"h7:Annie Institute of Technology and Research Centre, Chhindwara:1.000; 030:Astral Institute of Technology & Research, Indore:0.800; 003:Acropolis Institute of Technology & Research, Indore:0.796",AFRC:T:2017:page:1,
2017-2018,2017,Astral Institute of Technology Research,Indore,"Kailod Kartal, Bypass Road,Indore",22800,030,"Astral Institute of Technology & Research, Indore",1.000,high-confidence fuzzy match,accepted,"030:Astral Institute of Technology & Research, Indore:1.000; 003:Acropolis Institute of Technology & Research, Indore:0.835; h49:Trinity Institute of Technology & Research, Bhopal:0.814",AFRC:T:2017:page:1,
2017-2018,2017,B M College of Technology,Indore,"Gram Gokanya, PO Kasturba Gram, Khandwa Road, Near Chokhi Dhani, Indore.",22800,h10,"BM College of Technology, Indore",0.897,matched historical/defunct college,doubtful,"h10:BM College of Technology, Indore:0.897; h75:Shri Ram College of Technology, Bhopal:0.774; 135:IES College of Technology, Bhopal:0.772",AFRC:T:2017:page:1,
